family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,punctual_bill_sbg_id
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,2.0,30.0,,2022-06-28 15:22:31,2024-07-09 10:24:20,902181,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-08-24 14:16:37,2024-07-09 10:24:20,902181,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2022-06-28 15:22:31,2024-07-09 10:24:20,902181,
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2022-07-02 11:10:45,2024-07-09 10:24:20,902181,
5 - Service Pack,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2022-07-02 11:10:45,2024-07-09 10:24:20,902181,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-08-24 14:16:37,2024-07-09 10:24:20,902181,
7 - Mobile,Business Smartphone 20 Go,21.0,1.0,21.0,,2022-09-22 14:47:50,2024-03-26 11:06:04,902181,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-27 14:14:47,2024-07-09 10:26:02,902170,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-27 14:14:47,2024-03-26 11:20:26,902170,
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2021-09-07 09:18:38,2024-07-09 10:26:02,902170,
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-09-07 09:18:38,2024-07-09 10:26:02,902170,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-28 11:05:22,2024-07-09 10:26:02,902170,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2022-10-29 08:21:38,2024-03-26 11:07:21,902170,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-28 11:05:22,2024-07-09 10:26:02,902170,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,3.0,45.0,,2021-09-24 10:17:29,2024-03-26 11:08:35,902175,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-24 10:17:29,2024-03-26 11:20:02,902175,
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,3.0,10.5,,2021-10-14 16:20:25,2024-07-09 10:47:19,902175,
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-10-14 16:20:25,2023-06-29 13:55:36,902175,
1 - Licenses and options,Licence SUNBREN,15.0,9.0,135.0,,2021-07-30 10:43:13,2025-02-03 09:47:11,902175,
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-09 11:47:52,2024-03-26 11:08:35,902175,
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2021-09-24 10:17:29,2024-03-26 11:08:35,902175,
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-09 11:47:52,2024-03-26 11:08:35,902175,
7 - Mobile,Business Smartphone 1 Go,11.0,1.0,11.0,,2023-06-29 14:01:10,2024-03-26 11:08:35,902175,
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-24 10:02:05,2024-07-09 10:31:45,902169,
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-24 10:02:05,2024-07-09 10:31:45,902169,
